 INFO  Accepting connections at http://localhost:3000
 HTTP  2025/12/1 銝?9:46:20 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:46:20 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:46:21 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:46:21 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:46:21 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:46:21 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:49:15 ::1 GET /login
 HTTP  2025/12/1 銝?9:49:15 ::1 Returned 200 in 2 ms
 HTTP  2025/12/1 銝?9:49:15 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:49:15 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:49:15 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:49:15 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:49:15 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:49:15 ::1 Returned 200 in 0 ms
 HTTP  2025/12/1 銝?9:49:17 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:49:17 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:49:46 ::1 GET /login
 HTTP  2025/12/1 銝?9:49:46 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:49:46 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:49:46 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:49:46 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:49:46 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:49:46 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:49:46 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:49:48 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:49:48 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:50:03 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:50:03 ::1 Returned 304 in 1 ms
 HTTP  2025/12/1 銝?9:50:17 ::1 GET /login
 HTTP  2025/12/1 銝?9:50:17 ::1 Returned 200 in 0 ms
 HTTP  2025/12/1 銝?9:50:17 ::1 GET /static/js/main.f9daecb2.js
 HTTP  2025/12/1 銝?9:50:17 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:50:17 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:50:17 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:50:18 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:50:18 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:50:19 ::1 GET /favicon.ico
 HTTP  2025/12/1 銝?9:50:19 ::1 Returned 304 in 2 ms
 HTTP  2025/12/1 銝?9:51:51 ::1 GET /login
 HTTP  2025/12/1 銝?9:51:51 ::1 Returned 200 in 1 ms
 HTTP  2025/12/1 銝?9:51:51 ::1 GET /static/css/main.6337f997.css
 HTTP  2025/12/1 銝?9:51:51 ::1 GET /static/js/main.f9daecb2.js
